,id,timestamp,sensor,sensor_public,sensor_type_name,sensor_manufacturer,software_version,location_id,location_traffic,location_industry,location_oven,latitude,longitude,altitude,city,country,humidity,temperature,P2,P1,P0,hour,day_of_week,is_weekend,sensor_2,sensor_type_name_2,sensor_manufacturer_2,software_version_2
0,84664671,2025-06-20 15:33:49.888370+00:00,4901,True,DHT22,various,,3967,5,1,5,-1.308966,36.811901,5.0,Nairobi,Kenya,99.9,15.6,5.2,5.2,5.2,15,4,0,4900,pms5003,PlanTower,NRZ-2020-129
1,84664586,2025-06-20 15:29:17.098699+00:00,4901,True,DHT22,various,NRZ-2020-129,3967,5,1,5,-1.308966,36.811901,5.0,Nairobi,Kenya,99.9,15.2,5.2,5.2,5.2,15,4,0,4900,pms5003,PlanTower,NRZ-2020-129
3,84664671,2025-06-20 15:33:49.888370+00:00,4901,True,DHT22,various,,3967,5,1,5,-1.308966,36.811901,5.0,Nairobi,Kenya,99.9,15.6,5.2,5.2,5.2,15,4,0,4900,pms5003,PlanTower,NRZ-2020-129
4,84664586,2025-06-20 15:29:17.098699+00:00,4901,True,DHT22,various,NRZ-2020-129,3967,5,1,5,-1.308966,36.811901,5.0,Nairobi,Kenya,99.9,15.2,5.2,5.2,5.2,15,4,0,4900,pms5003,PlanTower,NRZ-2020-129
6,84664671,2025-06-20 15:33:49.888370+00:00,4901,True,DHT22,various,,3967,5,1,5,-1.308966,36.811901,5.0,Nairobi,Kenya,99.9,15.6,5.2,5.2,5.2,15,4,0,4900,pms5003,PlanTower,NRZ-2020-129
7,84664586,2025-06-20 15:29:17.098699+00:00,4901,True,DHT22,various,NRZ-2020-129,3967,5,1,5,-1.308966,36.811901,5.0,Nairobi,Kenya,99.9,15.2,5.2,5.2,5.2,15,4,0,4900,pms5003,PlanTower,NRZ-2020-129
9,84664671,2025-06-20 15:33:49.888370+00:00,4901,True,DHT22,various,,3967,5,1,5,-1.308966,36.811901,5.0,Nairobi,Kenya,99.9,15.6,5.2,5.2,5.2,15,4,0,4900,pms5003,PlanTower,NRZ-2020-129
10,84664586,2025-06-20 15:29:17.098699+00:00,4901,True,DHT22,various,NRZ-2020-129,3967,5,1,5,-1.308966,36.811901,5.0,Nairobi,Kenya,99.9,15.2,5.2,5.2,5.2,15,4,0,4900,pms5003,PlanTower,NRZ-2020-129
12,84664671,2025-06-20 15:33:49.888370+00:00,4901,True,DHT22,various,,3967,5,1,5,-1.308966,36.811901,5.0,Nairobi,Kenya,99.9,15.6,5.2,5.2,5.2,15,4,0,4900,pms5003,PlanTower,NRZ-2020-129
13,84664586,2025-06-20 15:29:17.098699+00:00,4901,True,DHT22,various,NRZ-2020-129,3967,5,1,5,-1.308966,36.811901,5.0,Nairobi,Kenya,99.9,15.2,5.2,5.2,5.2,15,4,0,4900,pms5003,PlanTower,NRZ-2020-129
15,84664671,2025-06-20 15:33:49.888370+00:00,4901,True,DHT22,various,,3967,5,1,5,-1.308966,36.811901,5.0,Nairobi,Kenya,99.9,15.6,5.2,5.2,5.2,15,4,0,4900,pms5003,PlanTower,NRZ-2020-129
16,84664586,2025-06-20 15:29:17.098699+00:00,4901,True,DHT22,various,NRZ-2020-129,3967,5,1,5,-1.308966,36.811901,5.0,Nairobi,Kenya,99.9,15.2,5.2,5.2,5.2,15,4,0,4900,pms5003,PlanTower,NRZ-2020-129
